group,function,value,sample_time_nanos,iteration_count
bench_group,blake2s,256,1002649.0,142
bench_group,blake2s,256,2006653.0,284
bench_group,blake2s,256,2949460.0,426
bench_group,blake2s,256,3935182.0,568
bench_group,blake2s,256,4925488.0,710
bench_group,blake2s,256,5929284.0,852
bench_group,blake2s,256,6905632.0,994
bench_group,blake2s,256,7861667.0,1136
bench_group,blake2s,256,8843691.0,1278
bench_group,blake2s,256,9826393.0,1420
bench_group,blake2s,256,10839148.0,1562
bench_group,blake2s,256,11875130.0,1704
bench_group,blake2s,256,12802364.0,1846
bench_group,blake2s,256,13867148.0,1988
bench_group,blake2s,256,14820319.0,2130
bench_group,blake2s,256,15830052.0,2272
bench_group,blake2s,256,16750775.0,2414
bench_group,blake2s,256,17766029.0,2556
bench_group,blake2s,256,18749876.0,2698
bench_group,blake2s,256,19729922.0,2840
bench_group,blake2s,256,20718353.0,2982
bench_group,blake2s,256,21650743.0,3124
bench_group,blake2s,256,22697143.0,3266
bench_group,blake2s,256,23622917.0,3408
bench_group,blake2s,256,24680567.0,3550
bench_group,blake2s,256,25679518.0,3692
bench_group,blake2s,256,26619981.0,3834
bench_group,blake2s,256,27609714.0,3976
bench_group,blake2s,256,28594031.0,4118
bench_group,blake2s,256,29536212.0,4260
bench_group,blake2s,256,30557090.0,4402
bench_group,blake2s,256,31538542.0,4544
bench_group,blake2s,256,32566661.0,4686
bench_group,blake2s,256,33530300.0,4828
bench_group,blake2s,256,34559200.0,4970
bench_group,blake2s,256,35426695.0,5112
bench_group,blake2s,256,36501218.0,5254
bench_group,blake2s,256,37445275.0,5396
bench_group,blake2s,256,38452456.0,5538
bench_group,blake2s,256,39500157.0,5680
bench_group,blake2s,256,40445776.0,5822
bench_group,blake2s,256,41463322.0,5964
bench_group,blake2s,256,42412534.0,6106
bench_group,blake2s,256,43340184.0,6248
bench_group,blake2s,256,44373875.0,6390
bench_group,blake2s,256,45329286.0,6532
bench_group,blake2s,256,46404018.0,6674
bench_group,blake2s,256,47372658.0,6816
bench_group,blake2s,256,48349995.0,6958
bench_group,blake2s,256,49291760.0,7100
bench_group,blake2s,256,50273159.0,7242
bench_group,blake2s,256,51379350.0,7384
bench_group,blake2s,256,52237522.0,7526
bench_group,blake2s,256,53216890.0,7668
bench_group,blake2s,256,54203394.0,7810
bench_group,blake2s,256,55175939.0,7952
bench_group,blake2s,256,56212495.0,8094
bench_group,blake2s,256,57192281.0,8236
bench_group,blake2s,256,58149515.0,8378
bench_group,blake2s,256,59288986.0,8520
bench_group,blake2s,256,60130595.0,8662
bench_group,blake2s,256,61177672.0,8804
bench_group,blake2s,256,62076312.0,8946
bench_group,blake2s,256,63106305.0,9088
bench_group,blake2s,256,64086767.0,9230
bench_group,blake2s,256,65161813.0,9372
bench_group,blake2s,256,65973005.0,9514
bench_group,blake2s,256,67092841.0,9656
bench_group,blake2s,256,68066272.0,9798
bench_group,blake2s,256,68972881.0,9940
bench_group,blake2s,256,69984072.0,10082
bench_group,blake2s,256,71054742.0,10224
bench_group,blake2s,256,71938383.0,10366
bench_group,blake2s,256,72898949.0,10508
bench_group,blake2s,256,73938474.0,10650
bench_group,blake2s,256,74912217.0,10792
bench_group,blake2s,256,75910857.0,10934
bench_group,blake2s,256,77057151.0,11076
bench_group,blake2s,256,77894438.0,11218
bench_group,blake2s,256,79223960.0,11360
bench_group,blake2s,256,79829737.0,11502
bench_group,blake2s,256,80811502.0,11644
bench_group,blake2s,256,81880244.0,11786
bench_group,blake2s,256,82829718.0,11928
bench_group,blake2s,256,83816899.0,12070
bench_group,blake2s,256,84977622.0,12212
bench_group,blake2s,256,85724022.0,12354
bench_group,blake2s,256,86726516.0,12496
bench_group,blake2s,256,87841613.0,12638
bench_group,blake2s,256,88766138.0,12780
bench_group,blake2s,256,89764777.0,12922
bench_group,blake2s,256,90936957.0,13064
bench_group,blake2s,256,91760129.0,13206
bench_group,blake2s,256,92712571.0,13348
bench_group,blake2s,256,93640949.0,13490
bench_group,blake2s,256,94579226.0,13632
bench_group,blake2s,256,95644636.0,13774
bench_group,blake2s,256,96691660.0,13916
bench_group,blake2s,256,97545717.0,14058
bench_group,blake2s,256,98570554.0,14200
