group,function,value,sample_time_nanos,iteration_count
bench_group,blake2bp,128,1002098.0,98
bench_group,blake2bp,128,1999196.0,196
bench_group,blake2bp,128,3032283.0,294
bench_group,blake2bp,128,3972873.0,392
bench_group,blake2bp,128,4997991.0,490
bench_group,blake2bp,128,5978788.0,588
bench_group,blake2bp,128,6968439.0,686
bench_group,blake2bp,128,7938559.0,784
bench_group,blake2bp,128,8950292.0,882
bench_group,blake2bp,128,9942860.0,980
bench_group,blake2bp,128,10934385.0,1078
bench_group,blake2bp,128,11929765.0,1176
bench_group,blake2bp,128,12935457.0,1274
bench_group,blake2bp,128,13911254.0,1372
bench_group,blake2bp,128,14920123.0,1470
bench_group,blake2bp,128,15910451.0,1568
bench_group,blake2bp,128,16886248.0,1666
bench_group,blake2bp,128,17888085.0,1764
bench_group,blake2bp,128,18887840.0,1862
bench_group,blake2bp,128,19861085.0,1960
bench_group,blake2bp,128,20915421.0,2058
bench_group,blake2bp,128,21865333.0,2156
bench_group,blake2bp,128,22855922.0,2254
bench_group,blake2bp,128,23847291.0,2352
bench_group,blake2bp,128,24858712.0,2450
bench_group,blake2bp,128,25831436.0,2548
bench_group,blake2bp,128,26820358.0,2646
bench_group,blake2bp,128,27831205.0,2744
bench_group,blake2bp,128,28830700.0,2842
bench_group,blake2bp,128,29814153.0,2940
bench_group,blake2bp,128,30823074.0,3038
bench_group,blake2bp,128,31797673.0,3136
bench_group,blake2bp,128,32793052.0,3234
bench_group,blake2bp,128,33797703.0,3332
bench_group,blake2bp,128,34773708.0,3430
bench_group,blake2bp,128,35773673.0,3528
bench_group,blake2bp,128,36774939.0,3626
bench_group,blake2bp,128,37766673.0,3724
bench_group,blake2bp,128,38757990.0,3822
bench_group,blake2bp,128,39754099.0,3920
bench_group,blake2bp,128,40741979.0,4018
bench_group,blake2bp,128,41750118.0,4116
bench_group,blake2bp,128,42736905.0,4214
bench_group,blake2bp,128,43717076.0,4312
bench_group,blake2bp,128,44714488.0,4410
bench_group,blake2bp,128,45717679.0,4508
bench_group,blake2bp,128,46711444.0,4606
bench_group,blake2bp,128,47712449.0,4704
bench_group,blake2bp,128,48694965.0,4802
bench_group,blake2bp,128,49720448.0,4900
bench_group,blake2bp,128,50678120.0,4998
bench_group,blake2bp,128,51669959.0,5096
bench_group,blake2bp,128,52710545.0,5194
bench_group,blake2bp,128,53566242.0,5292
bench_group,blake2bp,128,54665629.0,5390
bench_group,blake2bp,128,55644551.0,5488
bench_group,blake2bp,128,56631496.0,5586
bench_group,blake2bp,128,57649793.0,5684
bench_group,blake2bp,128,58632361.0,5782
bench_group,blake2bp,128,59623627.0,5880
bench_group,blake2bp,128,60612965.0,5978
bench_group,blake2bp,128,61613501.0,6076
bench_group,blake2bp,128,62602006.0,6174
bench_group,blake2bp,128,63606032.0,6272
bench_group,blake2bp,128,64583131.0,6370
bench_group,blake2bp,128,65599552.0,6468
bench_group,blake2bp,128,66620555.0,6566
bench_group,blake2bp,128,67573854.0,6664
bench_group,blake2bp,128,68565275.0,6762
bench_group,blake2bp,128,69568258.0,6860
bench_group,blake2bp,128,70553690.0,6958
bench_group,blake2bp,128,71544854.0,7056
bench_group,blake2bp,128,72557320.0,7154
bench_group,blake2bp,128,73528586.0,7252
bench_group,blake2bp,128,74534122.0,7350
bench_group,blake2bp,128,75510336.0,7448
bench_group,blake2bp,128,76516341.0,7546
bench_group,blake2bp,128,77510887.0,7644
bench_group,blake2bp,128,78498507.0,7742
bench_group,blake2bp,128,79500865.0,7840
bench_group,blake2bp,128,80534838.0,7938
bench_group,blake2bp,128,81476783.0,8036
bench_group,blake2bp,128,82590752.0,8134
bench_group,blake2bp,128,83479990.0,8232
bench_group,blake2bp,128,84454125.0,8330
bench_group,blake2bp,128,85472735.0,8428
bench_group,blake2bp,128,86453480.0,8526
bench_group,blake2bp,128,87446203.0,8624
bench_group,blake2bp,128,88452000.0,8722
bench_group,blake2bp,128,89429204.0,8820
bench_group,blake2bp,128,90419740.0,8918
bench_group,blake2bp,128,91426890.0,9016
bench_group,blake2bp,128,92436957.0,9114
bench_group,blake2bp,128,93405307.0,9212
bench_group,blake2bp,128,94422717.0,9310
bench_group,blake2bp,128,95384458.0,9408
bench_group,blake2bp,128,96392651.0,9506
bench_group,blake2bp,128,97390115.0,9604
bench_group,blake2bp,128,98373204.0,9702
bench_group,blake2bp,128,99376293.0,9800
