group,function,value,sample_time_nanos,iteration_count
bench_group,blake2bp,1024,987233.0,544
bench_group,blake2bp,1024,1976770.0,1088
bench_group,blake2bp,1024,2962161.0,1632
bench_group,blake2bp,1024,3947934.0,2176
bench_group,blake2bp,1024,4941012.0,2720
bench_group,blake2bp,1024,5919314.0,3264
bench_group,blake2bp,1024,6916979.0,3808
bench_group,blake2bp,1024,7898216.0,4352
bench_group,blake2bp,1024,8885083.0,4896
bench_group,blake2bp,1024,9872466.0,5440
bench_group,blake2bp,1024,10856491.0,5984
bench_group,blake2bp,1024,11852277.0,6528
bench_group,blake2bp,1024,12831728.0,7072
bench_group,blake2bp,1024,13825534.0,7616
bench_group,blake2bp,1024,14805026.0,8160
bench_group,blake2bp,1024,15798479.0,8704
bench_group,blake2bp,1024,16780405.0,9248
bench_group,blake2bp,1024,17768989.0,9792
bench_group,blake2bp,1024,18756953.0,10336
bench_group,blake2bp,1024,19753209.0,10880
bench_group,blake2bp,1024,20731310.0,11424
bench_group,blake2bp,1024,21723660.0,11968
bench_group,blake2bp,1024,22711099.0,12512
bench_group,blake2bp,1024,23702250.0,13056
bench_group,blake2bp,1024,24677138.0,13600
bench_group,blake2bp,1024,25668482.0,14144
bench_group,blake2bp,1024,26659070.0,14688
bench_group,blake2bp,1024,27640968.0,15232
bench_group,blake2bp,1024,28631945.0,15776
bench_group,blake2bp,1024,29619167.0,16320
bench_group,blake2bp,1024,30612654.0,16864
bench_group,blake2bp,1024,31596670.0,17408
bench_group,blake2bp,1024,32577094.0,17952
bench_group,blake2bp,1024,33569732.0,18496
bench_group,blake2bp,1024,34556733.0,19040
bench_group,blake2bp,1024,35533149.0,19584
bench_group,blake2bp,1024,36528930.0,20128
bench_group,blake2bp,1024,37513373.0,20672
bench_group,blake2bp,1024,38499059.0,21216
bench_group,blake2bp,1024,39553118.0,21760
bench_group,blake2bp,1024,40476680.0,22304
bench_group,blake2bp,1024,41490733.0,22848
bench_group,blake2bp,1024,42466146.0,23392
bench_group,blake2bp,1024,43434885.0,23936
bench_group,blake2bp,1024,44433935.0,24480
bench_group,blake2bp,1024,45409930.0,25024
bench_group,blake2bp,1024,46407722.0,25568
bench_group,blake2bp,1024,47383259.0,26112
bench_group,blake2bp,1024,48376126.0,26656
bench_group,blake2bp,1024,49357664.0,27200
bench_group,blake2bp,1024,50364116.0,27744
bench_group,blake2bp,1024,51347494.0,28288
bench_group,blake2bp,1024,52337476.0,28832
bench_group,blake2bp,1024,53310880.0,29376
bench_group,blake2bp,1024,54317141.0,29920
bench_group,blake2bp,1024,55283815.0,30464
bench_group,blake2bp,1024,56278649.0,31008
bench_group,blake2bp,1024,57268378.0,31552
bench_group,blake2bp,1024,58243674.0,32096
bench_group,blake2bp,1024,59232537.0,32640
bench_group,blake2bp,1024,60228967.0,33184
bench_group,blake2bp,1024,61217039.0,33728
bench_group,blake2bp,1024,62192839.0,34272
bench_group,blake2bp,1024,63194219.0,34816
bench_group,blake2bp,1024,64171647.0,35360
bench_group,blake2bp,1024,65159890.0,35904
bench_group,blake2bp,1024,66140860.0,36448
bench_group,blake2bp,1024,67143496.0,36992
bench_group,blake2bp,1024,68118679.0,37536
bench_group,blake2bp,1024,69104291.0,38080
bench_group,blake2bp,1024,70083625.0,38624
bench_group,blake2bp,1024,71084857.0,39168
bench_group,blake2bp,1024,72079586.0,39712
bench_group,blake2bp,1024,73058870.0,40256
bench_group,blake2bp,1024,74044798.0,40800
bench_group,blake2bp,1024,75037458.0,41344
bench_group,blake2bp,1024,76032226.0,41888
bench_group,blake2bp,1024,77000326.0,42432
bench_group,blake2bp,1024,77998211.0,42976
bench_group,blake2bp,1024,78977926.0,43520
bench_group,blake2bp,1024,79960103.0,44064
bench_group,blake2bp,1024,80953446.0,44608
bench_group,blake2bp,1024,81949902.0,45152
bench_group,blake2bp,1024,82931049.0,45696
bench_group,blake2bp,1024,83909915.0,46240
bench_group,blake2bp,1024,84907941.0,46784
bench_group,blake2bp,1024,85891849.0,47328
bench_group,blake2bp,1024,86887954.0,47872
bench_group,blake2bp,1024,87857150.0,48416
bench_group,blake2bp,1024,88856769.0,48960
bench_group,blake2bp,1024,89841116.0,49504
bench_group,blake2bp,1024,90822742.0,50048
bench_group,blake2bp,1024,91800303.0,50592
bench_group,blake2bp,1024,92795094.0,51136
bench_group,blake2bp,1024,93801978.0,51680
bench_group,blake2bp,1024,94761748.0,52224
bench_group,blake2bp,1024,95754140.0,52768
bench_group,blake2bp,1024,96743466.0,53312
bench_group,blake2bp,1024,98112527.0,53856
bench_group,blake2bp,1024,98718273.0,54400
