group,function,value,sample_time_nanos,iteration_count
bench_group,sha512,16384,1150535.0,19
bench_group,sha512,16384,2023646.0,38
bench_group,sha512,16384,3026512.0,57
bench_group,sha512,16384,4067941.0,76
bench_group,sha512,16384,5045759.0,95
bench_group,sha512,16384,6048075.0,114
bench_group,sha512,16384,7095089.0,133
bench_group,sha512,16384,8088718.0,152
bench_group,sha512,16384,9088486.0,171
bench_group,sha512,16384,10087919.0,190
bench_group,sha512,16384,11090428.0,209
bench_group,sha512,16384,12105190.0,228
bench_group,sha512,16384,13110647.0,247
bench_group,sha512,16384,14119849.0,266
bench_group,sha512,16384,15133070.0,285
bench_group,sha512,16384,16138830.0,304
bench_group,sha512,16384,17146341.0,323
bench_group,sha512,16384,18153725.0,342
bench_group,sha512,16384,19166228.0,361
bench_group,sha512,16384,20163384.0,380
bench_group,sha512,16384,21171591.0,399
bench_group,sha512,16384,22187645.0,418
bench_group,sha512,16384,23203091.0,437
bench_group,sha512,16384,24208589.0,456
bench_group,sha512,16384,25215299.0,475
bench_group,sha512,16384,26222141.0,494
bench_group,sha512,16384,27238101.0,513
bench_group,sha512,16384,28231428.0,532
bench_group,sha512,16384,29253359.0,551
bench_group,sha512,16384,30253896.0,570
bench_group,sha512,16384,31250877.0,589
bench_group,sha512,16384,32258532.0,608
bench_group,sha512,16384,33271864.0,627
bench_group,sha512,16384,34272577.0,646
bench_group,sha512,16384,35280120.0,665
bench_group,sha512,16384,36279437.0,684
bench_group,sha512,16384,37288673.0,703
bench_group,sha512,16384,38311968.0,722
bench_group,sha512,16384,39301762.0,741
bench_group,sha512,16384,40334864.0,760
bench_group,sha512,16384,41329988.0,779
bench_group,sha512,16384,42341476.0,798
bench_group,sha512,16384,43355123.0,817
bench_group,sha512,16384,44358826.0,836
bench_group,sha512,16384,45373820.0,855
bench_group,sha512,16384,46354630.0,874
bench_group,sha512,16384,47364061.0,893
bench_group,sha512,16384,48360971.0,912
bench_group,sha512,16384,49404477.0,931
bench_group,sha512,16384,50403992.0,950
bench_group,sha512,16384,51412018.0,969
bench_group,sha512,16384,52405274.0,988
bench_group,sha512,16384,53417004.0,1007
bench_group,sha512,16384,54439160.0,1026
bench_group,sha512,16384,55437900.0,1045
bench_group,sha512,16384,56434111.0,1064
bench_group,sha512,16384,57458053.0,1083
bench_group,sha512,16384,58484677.0,1102
bench_group,sha512,16384,59484897.0,1121
bench_group,sha512,16384,60498711.0,1140
bench_group,sha512,16384,61490693.0,1159
bench_group,sha512,16384,62492738.0,1178
bench_group,sha512,16384,63513451.0,1197
bench_group,sha512,16384,64485945.0,1216
bench_group,sha512,16384,65501365.0,1235
bench_group,sha512,16384,66507932.0,1254
bench_group,sha512,16384,67513473.0,1273
bench_group,sha512,16384,68531397.0,1292
bench_group,sha512,16384,69552803.0,1311
bench_group,sha512,16384,70561518.0,1330
bench_group,sha512,16384,71551028.0,1349
bench_group,sha512,16384,72571659.0,1368
bench_group,sha512,16384,73568442.0,1387
bench_group,sha512,16384,74562896.0,1406
bench_group,sha512,16384,75581483.0,1425
bench_group,sha512,16384,76591546.0,1444
bench_group,sha512,16384,77597410.0,1463
bench_group,sha512,16384,78595952.0,1482
bench_group,sha512,16384,79647798.0,1501
bench_group,sha512,16384,80614760.0,1520
bench_group,sha512,16384,81645499.0,1539
bench_group,sha512,16384,82648889.0,1558
bench_group,sha512,16384,83650947.0,1577
bench_group,sha512,16384,84661451.0,1596
bench_group,sha512,16384,85690286.0,1615
bench_group,sha512,16384,86988968.0,1634
bench_group,sha512,16384,88067174.0,1653
bench_group,sha512,16384,88684933.0,1672
bench_group,sha512,16384,89686725.0,1691
bench_group,sha512,16384,90691235.0,1710
bench_group,sha512,16384,91705948.0,1729
bench_group,sha512,16384,92724579.0,1748
bench_group,sha512,16384,93722722.0,1767
bench_group,sha512,16384,94722025.0,1786
bench_group,sha512,16384,95748653.0,1805
bench_group,sha512,16384,96742120.0,1824
bench_group,sha512,16384,97786502.0,1843
bench_group,sha512,16384,98805811.0,1862
bench_group,sha512,16384,99798725.0,1881
bench_group,sha512,16384,100778587.0,1900
